ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001,Adana,TUR,Turkey,341.7490175099583,284.0292435271245,275.4173293164359,220.35405503129746,322.5779871846548,137.35729591473824,507.55735933943475,427.7193471998294,372.5400479538126,502.6372492649848,179.48079846950873,239.01687645224771,256.9184273935414,282.2871078931146,188.74290250972118,555.2761767652219,426.52641608971936,179.61102433848632,262.82127276176027,239.43863734706937,134.7925441898236
1,TR002,Adiyaman,TUR,Turkey,621.1812189502352,587.4109549457436,454.52955007942893,487.33369250388495,467.92754719497725,354.6750472481959,552.055595044544,524.3862881777396,523.1478108502214,654.775400270883,461.2606678476775,471.2240362765028,526.5236902886581,444.8023772278665,344.991455078125,790.0385379635346,655.3446512248275,498.90669013498916,352.6809732296811,492.5953093900343,381.52909065267374
2,TR003,Afyonkarahisar,TUR,Turkey,541.1539927956587,398.91817780454716,468.3994484176179,487.3872326148485,444.76341603901574,369.766943651759,567.9272943371071,568.1950508163361,505.7924899712294,551.9917174927489,418.2498033717721,508.97242745953406,549.3354214422717,426.5704141034338,475.48820376824483,597.9529554172904,484.47497120017783,422.0405346533496,465.86200353199854,431.40614693464636,486.3399300032748
3,TR004,Agri,TUR,Turkey,605.4180492359203,518.2373717591003,556.7058257497711,574.1170113252632,543.3416059445112,393.01139144059067,619.2841099330357,634.9388432205816,585.6186988467261,497.4313285184867,434.70180145375457,443.65227578411174,532.597886976305,509.5902426024497,402.5118260645604,626.7785179501489,422.9869313222585,467.4035519330929,393.6249642284798,371.95368482429035,431.09628977793045
4,TR005,Amasya,TUR,Turkey,548.9830906080163,585.5038784881898,548.260885895694,504.8503042367788,548.2920313806437,516.694441269074,657.2055680392975,677.2214216659698,524.5626535064799,648.5976938100963,409.55312059077136,526.0429867135243,527.3116181542642,606.41958710023,530.5176458964778,572.1355119277802,520.3637319711538,419.6591592744043,505.7437421613712,562.7656339817621,544.2955571305392
5,TR006,Ankara,TUR,Turkey,414.4741098872951,380.8981157146516,467.3391441470286,404.8019307120902,399.08537717725414,383.63210489241806,508.2261526639345,605.0363809554303,462.3835193071209,475.51408411244876,384.93133004610655,533.1454597848361,481.88978051357583,480.65878025742825,433.5656137935451,583.0963434938525,498.01005379098365,381.44957495517417,457.98786340932384,462.32604059938524,405.8103731749488
6,TR007,Antalya,TUR,Turkey,-23.173741411205043,-225.79233078422305,-306.09471417481495,-237.40529614825584,-273.67598771141644,-586.6684332881871,185.8697145877378,-39.12139931289636,-279.6272297832981,137.87135595599904,-375.67838266384786,-158.31083385636896,-331.85977759976214,-447.07895703950845,-386.23204301830066,-196.8284986951638,-75.27939391186578,-435.2525147000528,-359.5550260967231,-417.95011685716173,-426.40498026228863
7,TR008,Artvin,TUR,Turkey,1316.47060785061,1351.0282170985772,1471.8103774983063,1363.1877223069107,1384.1613524728996,1062.3928639481705,1524.708492123984,1292.904032223916,1252.9810086382115,1229.6306211890242,1140.2377889989834,1187.12830813855,1190.2925294292008,1285.7456173780488,1129.077383976965,1392.5508553523036,1106.7497776930895,1034.9011792852302,1180.2999131944443,1106.5183588456978,1047.9148776253387
8,TR009,Aydin,TUR,Turkey,508.903885915095,333.261280392768,422.1645325163653,294.70931131643545,326.96581178888715,178.53781927018395,741.3374766209477,532.8016835353022,396.71601635559534,526.8248208823645,436.52342897638715,454.3705555447319,388.36582311311554,215.01236837106455,320.23171258864556,387.6991286432357,539.4626994525406,167.07055481413653,354.8973592629753,268.92222629461503,197.9318031824735
9,TR010,Balikesir,TUR,Turkey,477.5009042003922,436.94554327645193,526.5924214056241,376.31412456191595,468.4811689022864,294.5595605338368,637.9562385263685,788.0722232507927,425.59474351218296,531.294353734667,518.7008895975885,513.6743235772697,424.31400265458103,436.6813101061833,484.8905369920311,558.5295967540053,458.1186549513936,308.91876277745325,560.9361335947931,294.4677238922731,299.5870829074183
