ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001001,Aladag,TR001,Adana,TUR,Turkey,756.9349357508407,671.2615850907338,675.0510532041138,617.0703549928303,741.1744871501683,563.3092496847805,905.879900582229,866.148925008653,815.8060634951047,862.6463986167425,610.7049305589894,645.5170759370055,632.1859099955499,689.5031220641317,587.2319220047963,919.1894523524032,769.5224872057951,576.9297500803501,649.7395583526998,651.5368142429787,496.35960909686503
1,TR001002,Ceyhan,TR001,Adana,TUR,Turkey,768.8815024502308,685.7418223921076,652.9770559287932,634.7061793315842,696.3882347015013,525.790434320289,889.2463070053652,761.2886220173664,754.4144048116293,960.5326243940608,543.9328719908933,627.3105174604668,702.0168457031249,654.436550645943,606.8925181928888,967.771893972374,924.1851975774191,595.873338078878,652.5351893413498,636.8686302828501,455.8518757647779
2,TR001003,Cukurova,TR001,Adana,TUR,Turkey,750.1418619155884,732.1265112559001,698.0326722462971,642.9903596242269,794.992203394572,535.4400148391724,1028.732531865438,878.0609493255616,800.0219265619913,1036.5597683588662,599.6439698537191,705.1966991424562,692.5476665496825,803.1807626088461,641.8011735280355,1085.124754587809,911.8033332824707,605.8219709396362,699.8021341959635,681.9332917531331,425.1230354309082
3,TR001004,Feke,TR001,Adana,TUR,Turkey,653.9772796630859,592.1156611972385,620.111787584093,510.12590662638354,628.7952537536621,459.8608830769857,786.8110644022624,783.6766747368706,700.4511947631836,698.2408943176268,494.4143456353082,502.60467063056103,543.233652750651,541.1954803466797,461.99878565470374,790.0108019510905,645.7256635030111,460.762139638265,583.1566009521484,518.3320804172092,420.42593044704864
4,TR001005,Imamoglu,TR001,Adana,TUR,Turkey,703.0859841482979,593.6090659005301,606.7213112967355,575.1090733119419,652.5697217668805,476.10922764369417,828.9140978131975,736.3795139857701,704.294879586356,805.7053824288505,522.1199471609933,595.1470454624721,577.8059221540179,635.31740461077,558.2658822195871,898.4470219203403,779.078560965402,534.9459952218192,596.7225882393974,570.8029344831194,418.885600062779
5,TR001006,Karaisali,TR001,Adana,TUR,Turkey,752.191525627585,681.6185352101046,680.4505435719209,618.2598634607651,746.41686742446,525.0681717816522,968.8182530122644,860.9034450755402,805.7378207936007,935.3431230432845,626.7176477768842,696.0706333833582,672.381040685317,785.9993070714613,631.5903778076172,1033.9366051169002,839.8246406106389,597.5495066923254,659.3055985394647,686.4682424208697,459.33920916389013
6,TR001007,Karatas,TR001,Adana,TUR,Turkey,-3784.520205965909,-3735.420809659091,-3800.168039772727,-3790.2999289772724,-3736.0545987215905,-3921.3664417613645,-3523.916637073863,-3698.708132102273,-3752.331285511364,-3429.5504527698863,-3922.0684303977278,-3772.6083274147727,-3785.1758700284095,-3776.015092329545,-3861.0067116477276,-3446.615172230114,-3549.347132457386,-3846.989559659091,-3759.6833451704547,-3795.576970880682,-3284.8062499999996
7,TR001008,Kozan,TR001,Adana,TUR,Turkey,719.6757224143088,618.463348663605,629.8954297314893,565.6809752868102,665.0851880322705,487.2272371859164,841.9251780466991,795.5251899238107,751.9405110677084,794.3286088823198,540.3863640862542,566.9407381624789,586.8780319626268,611.9041423625774,519.4996546839809,880.6859334309895,757.998313010276,508.4383264490076,604.6745242557009,559.5239890158713,433.9533103049339
8,TR001009,Pozanti,TR001,Adana,TUR,Turkey,794.2105192961516,710.9710761176216,731.0121290418837,633.142987286603,787.0691155327692,598.5292590105975,990.1796264648439,918.4111650254991,866.8501694290728,962.7366039134838,675.3228691948785,729.9197201199003,721.6893141004775,777.3449475323713,669.7609252929688,1015.7057828549986,827.7394092701098,647.3396046956381,712.5205258969908,735.2073844627098,522.4904310438368
9,TR001010,Saimbeyli,TR001,Adana,TUR,Turkey,698.7957904149615,634.488038562593,645.1844511486236,524.4290592254154,633.3961094447545,467.833959185888,811.3355761331225,808.3749767485118,715.08835468595,738.6826079837858,527.8059973338293,524.9945174928695,564.9533245752729,569.8507433694506,484.0340828062996,839.9714762369791,673.8238535078744,472.09529137989836,587.6723729693699,532.88918195452,428.4522632417225
10,TR001011,Saricam,TR001,Adana,TUR,Turkey,726.9738455379709,654.6139759736903,641.8946263930377,616.9724827186735,727.6432800292969,505.3255058737362,922.047721713197,810.3942856134153,740.8625805424708,948.8231156293084,530.2672083237593,621.0468791886872,636.2626181209788,696.0163960176355,589.7600710999732,989.3878296496822,880.4848273782168,581.3289501713771,662.4222328335632,624.9804887958601,424.06372967888325
11,TR001012,Seyhan,TR001,Adana,TUR,Turkey,641.9387060312124,685.8671012291542,615.4462743905874,610.7081539447491,738.9042464036208,488.71690163245574,932.4285213763898,789.8675516568696,700.7450326772836,1003.2209739685061,532.1934333214392,639.0369186401367,654.0969654963568,697.0758573091946,591.0473533043495,1005.0588461068961,862.4818408672626,565.1645830594575,647.7989355233999,632.9391009990985,397.26109900841345
12,TR001013,Tufanbeyli,TR001,Adana,TUR,Turkey,583.9371876436121,546.5114105822994,567.9346558813955,470.426597445619,566.6190688189339,419.52269849590226,697.7804996266084,692.3665574017692,603.469493192785,638.1517609240962,463.62516156364893,480.49117623123465,507.29844276577825,519.1132393631282,413.5417875402115,729.5891119265088,568.012451171875,428.1253213321461,505.58038030886183,478.69977105832567,412.1428539799709
13,TR001014,Yumurtalik,TR001,Adana,TUR,Turkey,711.2246230276008,681.4437167519018,625.5328565898694,634.3217893901624,673.0868164865594,510.134601392244,883.8379934210527,707.6008132131476,696.2575615330746,997.4711303710939,489.91499569541537,637.1643652664989,652.9305331581515,631.7370681762695,578.6469509727076,983.2716072484068,930.1842872218083,584.6315215261359,660.9047546386719,645.497972187243,426.30795127467104
14,TR001015,Yuregir,TR001,Adana,TUR,Turkey,689.345452650538,668.9233110535819,618.5619564416273,622.0687929549307,709.8502608965028,501.16012342920845,912.1164193783168,762.1425605629973,699.9363869721036,1014.5471303687905,508.1475559450545,615.4443209666127,648.577841128943,661.9356879468235,575.7886617408608,990.3449914320462,907.940611641362,579.7483963876401,667.6260266573923,634.8435070109819,417.3115435906176
15,TR002001,Adiyaman,TR002,Adiyaman,TUR,Turkey,662.5099441677916,622.1505415673349,481.91647817574295,509.74889815087414,490.220816892736,370.80420415541704,593.626999873741,568.6405048744351,545.6263420254577,698.4964258530559,477.30572823917174,495.3164656396006,547.5823859420478,459.90628814697266,356.2641558179668,843.4821625503839,704.6158092723174,532.0170958275888,371.2005835140452,528.4503401214001,391.33510365205655
16,TR002002,Besni,TR002,Adiyaman,TUR,Turkey,564.6343675740559,555.2158048502604,428.2748701985678,427.23054555257164,432.1010307312011,318.9303573608398,541.636378479004,506.8588658650716,504.23819325764975,628.4010615030924,443.9014484659831,457.27351348876954,508.08414225260424,410.58870290120444,330.22522430419923,753.0482934570311,627.5252124023438,466.77446675618484,347.96274709065756,459.6996376546224,336.0715651448567
