ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001,Adana,TUR,Turkey,843959.28,509172.05999999994,771068.5700000001,711468.2200000001,691025.1,494632.22000000003,505231.94,679008.12,676057.09,642991.36,582007.3300000001,593101.4700000001,496600.29999999993,521950.98000000004,563782.05,558301.6699999999,588449.14,518876.92999999993,583869.1,505756.06,475285.43
1,TR002,Adiyaman,TUR,Turkey,277777.06,279144.72,238693.03000000003,328092.3499999999,251489.25,287449.36,277170.5200000001,303520.41,298504.89999999997,285436.60000000003,286104.84,145037.74,298136.24,221729.41,286809.27999999997,152680.92,284542.7,220951.77,296398.37,259520.77999999997,241577.14
2,TR003,Afyonkarahisar,TUR,Turkey,833552.8200000001,669128.08,650580.77,695270.65,647255.02,865496.87,671762.66,649950.79,719211.59,671115.76,737290.0299999999,880286.56,672587.19,736013.4,734874.98,725393.07,708435.9199999999,736892.17,658786.12,659809.96,551997.3400000001
3,TR004,Agri,TUR,Turkey,395692.0200000001,370588.5800000001,367489.36,396923.06999999995,401644.32000000007,447921.35,368214.71,402767.46,390977.52999999997,399460.13,387530.05000000005,498691.52,501213.7699999999,370164.66000000003,361088.62,387923.91000000003,368770.44,357165.03,384420.04999999993,343712.06999999995,294357.9
4,TR005,Amasya,TUR,Turkey,230069.34000000003,219823.63999999998,182238.09000000003,227612.07,124412.84,275097.88,150853.61,188769.86000000002,202994.33999999997,207340.85,203322.76,175152.65999999997,217778.52999999997,99601.09000000001,185473.7,210290.31,134583.67,218779.13999999998,188892.0,203295.72999999998,175772.97
5,TR006,Ankara,TUR,Turkey,1541201.2500000002,1291236.33,1328889.3800000004,1284737.85,1355298.18,1645230.14,1291258.24,1246501.1600000001,1362402.02,1380345.54,1253404.92,1688336.54,1290678.47,1381206.64,1405325.5400000003,1754193.3000000003,1455592.6099999999,1456536.55,1330343.65,1273864.96,1194129.98
6,TR007,Antalya,TUR,Turkey,253488.90000000002,205464.35,187743.90000000002,245967.94000000003,244569.52999999997,245852.28,214980.05,229207.34999999998,215018.37,209166.83999999997,194454.85,203798.40999999997,249133.84,256809.72,204544.16,228673.52999999997,263163.29000000004,220675.94,248548.44999999998,236780.01,150445.16
7,TR008,Artvin,TUR,Turkey,1088.62,1186.85,1158.19,1363.0500000000002,1089.2800000000002,1301.2600000000002,1217.1,844.12,910.0899999999999,740.52,1248.79,1145.22,1079.99,1310.27,1198.22,1154.3600000000001,966.8599999999999,902.16,1592.37,1024.42,671.12
8,TR009,Aydin,TUR,Turkey,216864.92,213650.52,271597.7,184156.8,273946.87000000005,281754.36,293110.01,224373.68000000002,240268.78999999998,204835.81,246681.46,181522.05,235348.25,285595.58,186463.24999999997,299779.43999999994,249891.46,247943.50999999998,319487.54000000004,267298.54000000004,244461.82
9,TR010,Balikesir,TUR,Turkey,472979.49,407525.31,401562.75,521243.30000000005,410841.76999999996,477094.18,388322.36,422488.09,423089.52999999997,450417.44999999995,461826.63,444756.23,458058.13000000006,387520.54999999993,414454.4,461567.60000000003,405654.75999999995,447330.24000000005,437818.64,450642.56,416270.06000000006
