ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001001,Aladag,TR001,Adana,TUR,Turkey,8534.6,6903.4800000000005,7472.76,8475.48,7709.81,7960.789999999999,7649.9400000000005,8145.140000000001,8472.01,8329.37,7685.679999999999,7326.84,7907.77,8028.509999999999,8278.35,8175.870000000001,7247.75,7348.639999999999,6865.280000000001,6908.9800000000005,7212.35
1,TR001002,Ceyhan,TR001,Adana,TUR,Turkey,121800.45999999999,117358.27,129864.81,106851.78,100350.90999999999,95859.74,112729.93,125357.72,129542.17000000001,112478.01000000001,125667.8,110235.25000000001,123869.33000000002,113534.24999999999,128528.29000000002,132803.11,133984.79,128203.64,133587.65,130374.74,125676.61
2,TR001003,Cukurova,TR001,Adana,TUR,Turkey,9939.119999999999,9414.04,9497.74,4185.4,5681.750000000001,4993.04,7135.720000000001,10580.890000000001,10814.02,9680.140000000001,11275.33,7429.5599999999995,9950.17,10039.19,7926.0,12641.780000000002,10431.93,9203.08,11743.17,12111.759999999998,10745.369999999999
3,TR001004,Feke,TR001,Adana,TUR,Turkey,2108.7000000000003,1814.7099999999998,1864.3899999999999,1801.23,2017.8600000000001,1608.88,1856.5799999999997,2094.4199999999996,2157.27,2474.69,2011.1999999999998,1894.1699999999998,1182.3,1971.5700000000002,1729.56,2077.94,963.5800000000002,1374.3700000000001,1585.8700000000001,1627.98,1701.79
4,TR001005,Imamoglu,TR001,Adana,TUR,Turkey,36134.979999999996,37971.68,39324.520000000004,27530.73,20570.71,33642.670000000006,42259.280000000006,37418.33,38459.450000000004,28866.480000000003,38433.54,29197.36,31743.08,41178.33,32662.050000000003,40462.159999999996,39452.909999999996,29792.97,30815.94,35908.810000000005,38947.33
5,TR001006,Karaisali,TR001,Adana,TUR,Turkey,27695.120000000003,33519.16,41352.170000000006,27954.229999999996,40423.369999999995,31729.9,33292.48,35271.14,31380.99,28975.01,31993.8,26164.39,30825.81,32954.58,32714.84,32345.320000000007,32934.2,28495.389999999996,30903.47,31139.600000000002,30313.110000000004
6,TR001007,Karatas,TR001,Adana,TUR,Turkey,58957.1,57452.94,53869.57,53822.810000000005,54350.39000000001,54522.64000000001,51481.67,56297.71000000001,59602.98,54862.13,55891.27,54269.130000000005,52816.030000000006,58884.090000000004,52096.619999999995,63202.130000000005,62123.22,58085.6,75457.37999999999,53478.87,40689.11
7,TR001008,Kozan,TR001,Adana,TUR,Turkey,45955.560000000005,43029.33,40741.030000000006,40811.04,39091.05,28470.83,53277.56,44194.259999999995,54424.69,52438.850000000006,45505.99,40344.56,45898.64,50620.07000000001,46059.6,49175.94,58988.659999999996,50230.89,57459.88999999999,50977.899999999994,47708.47
8,TR001009,Pozanti,TR001,Adana,TUR,Turkey,492.08000000000004,443.20000000000005,517.82,594.31,436.11,579.75,723.51,277.70000000000005,611.06,352.56,584.39,227.53,387.37,703.02,297.27,431.74,330.16,385.95,313.84000000000003,472.3,310.27
9,TR001010,Saimbeyli,TR001,Adana,TUR,Turkey,5965.32,5017.849999999999,4824.150000000001,227.61999999999998,1914.01,5598.49,3447.08,2739.68,5961.9800000000005,2925.24,4166.650000000001,5306.159999999999,357.46,6301.83,141.67,5126.1,583.91,1572.51,3444.6099999999997,4075.21,4244.7300000000005
10,TR001011,Saricam,TR001,Adana,TUR,Turkey,27372.649999999998,34650.5,35349.1,13447.710000000001,12493.109999999999,31209.299999999996,32508.19,56933.13999999999,37754.7,40956.600000000006,43195.41,21384.410000000003,26816.14,25517.48,36197.01,42619.979999999996,37814.04,35138.83,32290.11,40670.52,45212.77
11,TR001012,Seyhan,TR001,Adana,TUR,Turkey,28558.38,27366.460000000003,24787.650000000005,25636.589999999997,23993.990000000005,25249.45,22693.09,25742.36,24640.140000000003,26123.63,25136.11,24769.66,25434.45,24877.46,24395.71,26020.09,26273.7,26395.289999999997,25677.74,24580.35,19793.92
12,TR001013,Tufanbeyli,TR001,Adana,TUR,Turkey,20006.31,20248.07,15722.520000000002,16880.440000000002,19556.96,13150.49,2963.74,28673.15,5454.97,15893.93,2953.78,7982.1,4416.9400000000005,4695.9400000000005,20651.62,4980.22,8393.599999999999,19461.84,21281.97,18955.120000000003,18133.63
13,TR001014,Yumurtalik,TR001,Adana,TUR,Turkey,17271.559999999998,24850.77,20417.289999999997,17834.539999999997,19696.46,15250.48,20105.929999999997,21493.4,37665.159999999996,23770.76,22821.660000000003,26399.65,25878.300000000003,27461.69,25399.36,28111.260000000002,28793.890000000003,26241.620000000003,31492.61,24992.11,25099.64
14,TR001015,Yuregir,TR001,Adana,TUR,Turkey,49801.3,48838.71,65968.14,43197.6,42794.270000000004,43402.78,42194.58,46619.280000000006,59865.11,51124.75,53183.73,44160.57000000001,45824.69,45488.53,48592.95999999999,55877.46,54059.54,51425.630000000005,59219.990000000005,45785.18,41019.39
15,TR002001,Adiyaman,TR002,Adiyaman,TUR,Turkey,95805.09,87722.39000000001,77498.25,110325.80999999998,18997.61,68526.17,84360.62999999998,105277.91,105794.99000000002,87255.65999999999,103846.9,21327.379999999997,79043.60999999999,21335.070000000003,26267.45,45808.78999999999,103659.59,82467.44000000002,93599.99999999999,25602.629999999997,59544.22000000001
16,TR002002,Besni,TR002,Adiyaman,TUR,Turkey,73474.17000000001,73477.51,57242.31,49585.97000000001,51773.03,44084.42999999999,58849.16,77515.04,71512.29,70125.01000000001,68204.59,26395.649999999998,51426.31000000001,24643.449999999997,45790.03,41221.41,64670.8,25717.489999999998,73137.81,27916.139999999996,56257.689999999995
17,TR002003,Celikhan,TR002,Adiyaman,TUR,Turkey,1392.35,903.72,417.85,1255.09,1264.28,1461.19,1299.3600000000001,1391.8000000000002,1398.13,1304.13,1437.24,1257.88,1129.02,1402.7,1328.5300000000002,1045.07,1392.69,1143.07,1325.37,1194.3000000000002,87.59
18,TR002004,Gerger,TR002,Adiyaman,TUR,Turkey,5090.819999999999,5589.25,777.1,916.05,4076.02,815.77,523.83,4845.19,961.0999999999999,6473.810000000001,5397.72,1869.27,676.87,937.88,582.9399999999999,1816.31,1586.96,807.04,2897.7999999999997,572.34,4224.82
19,TR002005,Golbasi,TR002,Adiyaman,TUR,Turkey,18840.23,17853.62,21967.0,7362.44,19511.079999999998,14854.829999999998,16093.369999999999,15927.159999999998,21187.57,14761.850000000002,19451.28,8981.44,20783.440000000002,9543.41,14424.259999999998,16075.59,9811.68,7612.530000000001,19518.32,18110.100000000002,15082.96
20,TR002006,Kahta,TR002,Adiyaman,TUR,Turkey,64847.189999999995,61621.51,56615.94,81243.77,13413.12,60748.15999999999,59590.66000000001,68732.26000000001,20045.39,58266.56,43821.2,21843.550000000003,45526.880000000005,8144.07,8661.55,23731.93,22160.000000000004,10479.42,65805.07,55891.72,59717.94999999999
21,TR002007,Samsat,TR002,Adiyaman,TUR,Turkey,3116.88,12939.630000000001,11383.969999999998,12481.300000000001,13051.849999999999,12430.830000000002,10855.77,4205.9,6655.85,12118.19,12957.1,2577.53,4504.0199999999995,3695.0199999999995,4273.1,5362.12,8321.99,7125.05,5589.369999999999,5516.96,10593.95
22,TR002008,Sincik,TR002,Adiyaman,TUR,Turkey,2040.8400000000001,1518.18,654.7,601.52,665.02,1531.4799999999998,364.45,1546.72,810.3299999999999,932.43,531.1600000000001,750.94,2059.94,418.6700000000001,338.96,584.65,597.69,364.99,894.38,413.01,274.54
23,TR002009,Tut,TR002,Adiyaman,TUR,Turkey,2497.92,986.29,2521.79,1107.28,829.21,1517.73,727.56,1294.63,1234.0800000000002,2461.3900000000003,2977.4300000000003,1360.42,2674.94,865.01,832.8,640.77,1489.9099999999999,853.25,1296.2,766.99,1751.96
24,TR003001,Afyonkarahisar,TR003,Afyonkarahisar,TUR,Turkey,74871.01999999999,68678.72000000002,64722.18,72736.04000000001,62996.14,89943.9,64730.28,68209.03,74670.68,65344.840000000004,79447.12999999999,92276.12000000001,46979.619999999995,50516.03,78454.95000000001,71833.89,55310.83,78183.67,65884.57,67508.23999999999,53154.479999999996
25,TR003002,Basmakci,TR003,Afyonkarahisar,TUR,Turkey,15634.220000000003,16150.200000000003,15675.029999999999,18144.749999999996,11959.02,5588.12,16631.91,14614.810000000001,15986.23,16748.44,16459.7,6930.639999999999,5625.97,10347.82,15065.41,10903.019999999999,7866.590000000001,7285.86,14515.910000000002,13386.470000000001,13740.160000000002
26,TR003003,Bayat,TR003,Afyonkarahisar,TUR,Turkey,10544.0,7716.570000000001,8115.710000000001,9973.24,285.58,10650.27,7700.0700000000015,7683.370000000001,9351.23,5691.72,8908.26,10924.8,1025.71,2009.78,9149.08,8995.68,2193.77,6720.99,8061.92,6568.82,7201.969999999999
27,TR003004,Bolvadin,TR003,Afyonkarahisar,TUR,Turkey,65018.41,42629.02999999999,40238.079999999994,47421.009999999995,46136.770000000004,53150.67999999999,48253.880000000005,45712.37,53520.130000000005,46291.87000000001,54289.009999999995,64004.100000000006,40983.07,47287.490000000005,52836.31999999999,51030.76,47522.490000000005,52492.37,49041.18,46152.009999999995,38330.63
28,TR003005,Cay,TR003,Afyonkarahisar,TUR,Turkey,37427.35,27827.91,35035.99,34398.67,21299.14,31131.11,29421.81,33173.71,33601.47,33098.61,32336.540000000005,33958.33,18806.86,27087.269999999997,31048.559999999998,28532.63,22955.059999999998,22923.27,21402.88,32828.44,25399.97
29,TR003006,Cobanlar,TR003,Afyonkarahisar,TUR,Turkey,15673.23,4886.43,6519.089999999999,13178.49,1305.52,11030.0,8282.789999999999,6589.139999999999,6391.8,10588.960000000001,11671.64,9807.619999999999,5008.24,5862.34,16644.760000000002,7997.620000000001,8403.509999999998,5310.570000000001,13233.419999999998,12974.74,5652.9400000000005
30,TR003007,Dazkiri,TR003,Afyonkarahisar,TUR,Turkey,17216.49,19552.960000000003,15803.31,17689.550000000003,14889.579999999998,19114.08,17803.269999999997,15366.83,17133.539999999997,17814.829999999998,18653.12,18394.5,6868.94,21030.12,20016.22,18318.48,10728.640000000001,10146.78,17778.44,19708.489999999998,15209.300000000001
31,TR003008,Dinar,TR003,Afyonkarahisar,TUR,Turkey,60689.35999999999,55317.59,43118.600000000006,57971.89,40857.63999999999,52090.55,52696.94,53520.96,53364.56,57324.29000000001,62410.86,56114.22,52452.78999999999,39764.22,53837.100000000006,56279.19,30235.99,62582.46000000001,50805.509999999995,51801.44,47309.84
32,TR003009,Emirdag,TR003,Afyonkarahisar,TUR,Turkey,198197.65,147893.72999999998,141926.68,134661.38,126031.37999999999,180759.08000000002,139983.51000000004,136679.55,160565.44,136764.62000000002,148222.2,169550.6,144882.96000000002,93183.7,153125.87,123320.38999999998,154353.15,143976.2,132384.9,132692.44,112128.07
33,TR003010,Evciler,TR003,Afyonkarahisar,TUR,Turkey,25208.399999999998,21858.12,1225.66,28216.179999999997,16629.96,26076.12,20468.14,20368.989999999998,15461.65,26446.79,23430.020000000004,6503.410000000001,10065.099999999999,11295.03,24600.3,13884.05,10742.789999999999,7324.259999999999,20805.8,27526.510000000002,21231.12
34,TR003011,Hocalar,TR003,Afyonkarahisar,TUR,Turkey,11531.95,7883.67,8707.23,8876.689999999999,1493.4900000000002,10999.380000000001,9271.76,8485.66,8812.7,7881.839999999999,9608.76,13157.89,6443.78,4099.75,8470.87,8337.05,1679.98,3779.42,2233.51,8710.359999999999,7904.17
35,TR003012,Ihsaniye,TR003,Afyonkarahisar,TUR,Turkey,56156.68000000001,41205.16999999999,37865.79000000001,46670.42,39776.98,62424.619999999995,43959.69,33695.48,47277.95,43458.36,49418.34,50053.99,16086.79,9623.25,48989.4,44337.52,27956.14,46916.07,41309.35,43242.34,37937.82
36,TR003013,Iscehisar,TR003,Afyonkarahisar,TUR,Turkey,18399.480000000003,8756.069999999998,11398.89,13811.92,304.86,17730.96,11617.769999999999,12090.660000000002,14153.910000000002,10794.11,14015.57,19899.809999999998,2897.33,5589.67,13136.97,13502.580000000002,5866.3099999999995,14035.45,12056.57,12497.66,11296.380000000003
