ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual,LTA,2003_annual_anomaly,2004_annual_anomaly,2005_annual_anomaly,2006_annual_anomaly,2007_annual_anomaly,2008_annual_anomaly,2009_annual_anomaly,2010_annual_anomaly,2011_annual_anomaly,2012_annual_anomaly,2013_annual_anomaly,2014_annual_anomaly,2015_annual_anomaly,2016_annual_anomaly,2017_annual_anomaly,2018_annual_anomaly,2019_annual_anomaly,2020_annual_anomaly,2021_annual_anomaly,2022_annual_anomaly,2023_annual_anomaly
0,TR001,Adana,TUR,Turkey,843959.28,509172.06,771068.5700000001,711468.2200000001,691025.1,494632.22,505231.94,679008.12,676057.09,642991.36,582007.3300000001,593101.4700000001,496600.29999999993,521950.98,563782.05,558301.6699999999,588449.14,518876.92999999993,583869.1,505756.06,475285.43,601865.4495000001,40.22391228822313,-15.401015223087681,28.113114092288484,18.210510437349832,14.813884161994892,-17.81681098143849,-16.055666524848437,12.81726182556021,12.326947918614465,6.833073826411741,-3.29942838827136,-1.4561360030353454,-17.48981430774091,-13.277796485308983,-6.327560342870296,-7.238125985831352,-2.22912106204895,-13.788550176612215,-2.990095130888573,-15.968583938460501,-21.031281926077746
1,TR002,Adiyaman,TUR,Turkey,277777.06,279144.72,238693.03000000003,328092.3499999999,251489.25,287449.36,277170.5200000001,303520.41,298504.9,285436.60000000003,286104.84,145037.74,298136.24,221729.41,286809.28,152680.92,284542.7,220951.77,296398.37,259520.78,241577.14,263959.51250000007,5.234722313710867,5.752854805715668,-9.572105305354372,24.296467625882524,-4.724308808533682,8.89903427897864,5.004937073446066,14.987486954083495,13.08738115660823,8.136508245748468,8.38966828293409,-45.05303535897387,12.94771579789151,-15.998704536173916,8.656542544569199,-42.15744734715708,7.7978578248813575,-16.2933103234914,12.289330735902126,-1.6815959606684263,-8.479471828089563
2,TR003,Afyonkarahisar,TUR,Turkey,833552.8200000001,669128.08,650580.77,695270.65,647255.02,865496.87,671762.66,649950.79,719211.59,671115.76,737290.0299999999,880286.56,672587.19,736013.4,734874.98,725393.07,708435.9199999999,736892.17,658786.12,659809.96,551997.3400000001,716184.7205,16.38796474435536,-6.5704613842009625,-9.160199683427905,-2.9202061844322786,-9.624570104187253,20.84827352861683,-6.20259818849347,-9.248163023327166,0.4226381006685988,-6.292924047379205,2.9469086530169637,22.91333992512899,-6.087470069113281,2.7686543614274117,2.60969816375745,1.285750622209748,-1.0819555734992992,2.891355945927359,-8.01449665945506,-7.871539127593002,-22.925283910744916
3,TR004,Agri,TUR,Turkey,395692.0200000001,370588.5800000001,367489.36,396923.07,401644.32000000007,447921.35,368214.71,402767.46,390977.53,399460.13,387530.0500000001,498691.52,501213.7699999999,370164.66,361088.62,387923.91,368770.44,357165.03,384420.04999999993,343712.06999999995,294357.9,395117.9325,0.14529522777356643,-6.208109144729826,-6.992487616339714,0.4568604336883676,1.6517568460399024,13.363963808451032,-6.808909514629527,1.9360112186252203,-1.0478903029793434,1.0989623964991793,-1.9204095475975114,26.213335052819964,26.851688767631398,-6.315398631015063,-8.612444463021177,-1.820727916468337,-6.668260368061121,-9.605461908515116,-2.7075163185614373,-13.010258019610395,-25.501255248646547
4,TR005,Amasya,TUR,Turkey,230069.34000000003,219823.64,182238.09000000003,227612.07,124412.84,275097.88,150853.61,188769.86,202994.34,207340.85,203322.76,175152.65999999997,217778.53,99601.09,185473.7,210290.31,134583.67,218779.14,188892.0,203295.73,175772.97,192319.1055,19.62895698888326,14.301509165453147,-5.241816965501631,18.351252418860696,-35.309162510637826,43.04240823333072,-21.560778058007358,-1.845498132269557,5.550792508235741,7.810843577368864,5.721560773378287,-8.926021913095903,13.238115076403572,-48.21050683391412,-3.5593996146160287,9.344471758683378,-30.020644776761397,13.758401398138787,-1.7819891014416167,5.707506007508965,-8.603479855515449
5,TR006,Ankara,TUR,Turkey,1541201.2500000002,1291236.33,1328889.3800000004,1284737.85,1355298.18,1645230.14,1291258.24,1246501.16,1362402.02,1380345.54,1253404.92,1688336.54,1290678.47,1381206.64,1405325.5400000005,1754193.3000000005,1455592.61,1456536.55,1330343.65,1273864.96,1194129.98,1400829.1635,10.020642784825933,-7.82342603620416,-5.135514406357493,-8.287328428396181,-3.250288092677911,17.44687952450669,-7.821861962541875,-11.016903953827493,-2.7431712946344584,-1.4622499326628264,-10.524070125129152,20.524085590969353,-7.863249593175681,-1.400779196441974,0.32097964670910983,25.22535550424386,3.9093593942013958,3.976743770868818,-5.0316994631872625,-9.063503731088623,-14.755488312618931
6,TR007,Antalya,TUR,Turkey,253488.9,205464.35,187743.9,245967.94000000003,244569.53,245852.28,214980.05,229207.35,215018.37,209166.84,194454.85,203798.41,249133.84,256809.72,204544.16,228673.53,263163.29000000004,220675.94,248548.45,236780.01,150445.16,227902.0855,11.22710853824109,-9.845340138407808,-17.620806502009827,7.927024651996898,7.313423421919504,7.876274787314315,-5.669994406435565,0.5727303886387732,-5.653180168024392,-8.220743333215347,-14.676142794665203,-10.576329500065055,9.316173853090962,12.684234300260503,-10.24910564058879,0.3384982187887931,15.472085050314316,-3.17072372731753,9.059313544544121,3.895499455620393,-33.98693141840511
7,TR008,Artvin,TUR,Turkey,1088.62,1186.85,1158.19,1363.0500000000002,1089.2800000000002,1301.2600000000002,1217.1,844.12,910.09,740.52,1248.79,1145.22,1079.99,1310.27,1198.22,1154.36,966.86,902.16,1592.37,1024.42,671.12,1126.0870000000002,-3.327185199722608,5.395941876604533,2.850845449774292,21.043045519573525,-3.268575163375477,15.555902874289462,8.082235209180078,-25.039539573762966,-19.18120003161391,-34.239539218550625,10.896404984694763,1.6990694324683444,-4.093555826503654,16.356018673512768,6.405632957311451,2.510729632790333,-14.139848874909324,-19.885408498632895,41.4073690576305,-9.028343280758957,-40.402473343533856
8,TR009,Aydin,TUR,Turkey,216864.92,213650.52,271597.7,184156.8,273946.87000000005,281754.36,293110.01,224373.68,240268.79,204835.81,246681.46,181522.05,235348.25,285595.58,186463.25,299779.43999999994,249891.46,247943.51,319487.54000000004,267298.54000000004,244461.82,246228.527,-11.925347301452195,-13.230801238558362,10.303100663880432,-25.208990914363067,11.257161522961981,14.427992334129499,19.03982595810274,-8.875838744712146,-2.4204088261470993,-16.81069106992627,0.18394822302616057,-26.279033460651785,-4.418771915895838,15.98801466249279,-24.272279791528785,21.748460120544824,1.4876152022791371,0.6965005318006908,29.75244740833788,8.557096635679438,-0.7175070336184056
9,TR010,Balikesir,TUR,Turkey,472979.49,407525.31,401562.75,521243.3000000001,410841.77,477094.18,388322.36,422488.09,423089.53,450417.45,461826.63,444756.23,458058.13000000006,387520.54999999993,414454.4,461567.6,405654.76,447330.2400000001,437818.64,450642.56,416270.06000000006,437259.69849999994,8.16901068690648,-6.800166720601612,-8.163786560356865,19.206801310091507,-6.041702125904916,9.110028122109236,-11.19182459940336,-3.378223181938163,-3.240675632492555,3.009138858471786,5.6183845856994905,1.7144345856058907,4.756539779757481,-11.375196175322802,-5.215504328030341,5.559145190692675,-7.227955974085715,2.303103060846155,0.12782826817049403,3.0606208497854643,-4.800268255227708
