ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
0,TR001,Adana,TUR,Turkey,511376.68000000005,699109.5500000002,733495.99,429019.1000000001,526786.6900000002,432794.87,395666.1,454991.0400000001,374235.08999999997,382761.50000000006,441165.3100000001,484862.6099999999,397330.06,592500.07,477306.11,341889.58,362489.39,364076.08999999997,439291.93999999994,396475.21,393875.14
1,TR002,Adiyaman,TUR,Turkey,223667.93,203781.49999999997,258680.59999999998,224600.8,152145.90000000002,273031.31,77384.15000000001,128584.09000000001,300877.49,219863.16,130906.09999999998,82777.95,145183.67999999996,72988.14,110381.53,105441.71000000002,153559.8,199935.42999999996,112027.87,115723.50000000001,191166.83000000002
2,TR003,Afyonkarahisar,TUR,Turkey,846535.9699999999,706145.21,791813.1399999999,1031929.7399999998,924923.68,1037059.2699999999,537972.4299999999,549488.4699999999,568685.41,431779.47,659818.3500000002,922822.8699999999,560677.1,632877.2500000001,743322.7700000001,484018.23,529382.3700000001,799969.9499999998,653642.2599999999,684440.49,688202.8
3,TR004,Agri,TUR,Turkey,513005.01999999996,448302.59,435777.19,535200.8200000001,465308.61000000004,536497.89,440452.74000000005,537046.08,444146.28,497046.25,463578.28,607827.39,565254.25,379855.0899999999,444791.9,442707.13000000006,414216.53,407324.93,464476.13,437130.95999999996,524273.85000000003
4,TR005,Amasya,TUR,Turkey,244022.27,164674.53000000003,196535.56,258459.16000000003,57353.65999999999,245500.14,54707.42999999999,208289.71,163697.54000000004,205627.41999999998,67561.95,180057.96000000002,206819.12999999998,14841.649999999998,209273.65000000002,189880.68,42260.72000000001,133962.51,160916.66,197604.12999999998,180061.93
5,TR006,Ankara,TUR,Turkey,1539587.7100000002,1334304.3699999999,1598428.2900000003,2257293.8600000003,1626297.9800000002,1939285.1600000001,1309161.3499999999,1823660.89,1261417.98,1060040.43,1134920.7100000002,1935554.9899999998,1180402.9000000001,1478492.2200000002,1373336.6699999997,1516047.4200000004,1065949.54,1474497.34,1519905.4400000002,1433720.0500000003,1498508.55
6,TR007,Antalya,TUR,Turkey,205819.70000000004,243184.71,250288.03,214078.18,206590.86000000002,227613.80000000002,273436.01,222614.72,225157.93,240577.65000000002,192020.67,216292.62,203405.98,229030.29,229681.56,193753.72999999998,231001.82,212353.46000000002,225656.64999999997,215100.24,203349.48
7,TR008,Artvin,TUR,Turkey,220.68,144.95,113.60000000000001,1012.73,136.8,0.0,507.5,200.19,795.7,1049.7599999999998,223.79000000000002,443.91,425.53,470.53999999999996,348.25000000000006,270.83000000000004,139.76,1294.9899999999998,1513.37,1323.4199999999998,1349.5
8,TR009,Aydin,TUR,Turkey,177802.61,223247.86,180391.89999999997,211544.38,168149.02000000002,206911.14,171523.38000000003,170973.53,191971.17000000004,202418.97000000003,186751.61000000002,163979.93,178684.79,172500.66000000003,238315.63999999998,191793.86,179509.53,182258.78000000003,213705.17999999996,206780.91,222829.83
9,TR010,Balikesir,TUR,Turkey,350577.08,421785.01000000007,487843.46,520533.48,215787.31,523422.0500000001,332241.19,325049.00000000006,383751.14,437469.6400000001,249150.51000000004,249507.16999999995,322519.46,124520.65999999999,420981.64,212574.28999999998,316880.4,220951.73999999996,211876.19,264682.80000000005,265186.29
10,TR011,Bilecik,TUR,Turkey,95783.42,73775.85999999999,113028.59999999999,140062.55,52696.990000000005,148698.18999999997,57929.46,97002.62000000001,87707.62000000002,88828.05,85123.69000000003,68604.32999999999,26773.25,102565.31999999999,69081.28,104064.02999999998,29475.870000000003,96407.03000000001,110534.16,86385.72999999998,99015.09
11,TR012,Bingol,TUR,Turkey,111296.26999999999,98573.10999999999,119361.87999999999,115247.47000000002,95380.84000000001,132774.72999999998,119346.42,113929.38,99499.26999999999,102856.55000000002,99583.2,124134.95999999999,113826.50000000001,87601.97999999998,102589.48000000001,92449.47,93487.26000000001,93863.34999999998,93142.38,109424.23000000001,122113.34
12,TR013,Bitlis,TUR,Turkey,207168.37000000002,215120.34,181150.42000000004,172742.24999999997,166909.83000000002,178442.1,192842.04,153675.96,197468.61,170793.43,180738.21000000002,195641.36000000002,215532.96999999997,150825.74000000002,159348.75999999998,184875.09999999998,148634.45,154994.88999999998,160067.38,165696.59,199502.47
13,TR014,Bolu,TUR,Turkey,127068.82999999999,124257.68000000002,127412.31000000001,186319.12999999998,80785.11,184975.14,93117.03999999998,60402.59,105010.58999999998,124877.72000000002,120304.18,119147.92000000001,29646.220000000005,135517.37000000002,94025.54000000001,120038.89,54183.04,109991.87999999999,113924.68999999999,108518.46999999999,131125.59
14,TR015,Burdur,TUR,Turkey,181757.16999999998,199044.52,208440.83,226626.11,206138.91999999998,239481.61000000004,213440.24000000002,173933.99000000002,200931.97999999998,211569.48,204816.69999999998,244532.38,207880.61,196308.15,209596.65000000002,183550.91999999995,216086.05000000005,215646.26000000004,164455.30000000005,211624.89,204020.54
15,TR016,Bursa,TUR,Turkey,270973.31000000006,322782.24,303715.32999999996,346613.04,204771.63,384539.14999999997,231030.68999999997,276410.39999999997,281756.80000000005,300377.87,305514.93999999994,266486.08,296382.43999999994,109912.98,192806.31999999995,180181.21000000002,282649.47000000003,229451.09999999995,200910.54999999993,220659.99,262692.69
16,TR017,Canakkale,TUR,Turkey,252284.02000000005,297596.73000000004,306449.62,351469.36,249097.3,336925.36,251844.90999999997,215292.58,214529.18000000005,325833.41,324447.83999999997,189676.8,286637.8,196975.15,307512.48999999993,222031.7,207169.43999999997,165088.82000000004,129719.50999999998,224607.93000000002,142943.31000000003
17,TR018,Cankiri,TUR,Turkey,279374.66,199373.49000000005,284341.7,346894.24000000005,178567.93000000002,291869.96,276029.31000000006,264095.07999999996,167283.53999999998,186256.06,221769.03000000003,385340.32000000007,150654.66999999995,182876.19,254946.74,312404.84,77204.79,200613.01999999993,289182.77,248266.27000000005,281876.06
18,TR019,Corum,TUR,Turkey,864497.5800000001,581879.9299999999,583927.46,789289.68,557186.8500000001,743534.44,540632.7200000001,599621.2700000001,285272.94999999995,400126.74,447985.05,813327.1499999999,478158.6700000001,442503.87,581149.2400000001,243362.98999999996,494120.76000000007,370109.22,613274.39,515414.2899999999,591716.1199999999
19,TR020,Denizli,TUR,Turkey,263686.60000000003,421711.49000000005,425677.5400000001,458733.03,462762.64999999997,461553.63000000006,352506.94000000006,249387.84,344895.95999999996,429361.72000000003,339809.48999999993,234201.63,257925.27999999997,438038.25,415427.22000000015,266529.96,349168.47000000003,458404.51,415317.70000000007,386560.9199999999,428567.61000000004
20,TR021,Diyarbakir,TUR,Turkey,787905.0300000001,797528.2000000001,1045627.7000000001,955884.1900000001,1098959.3699999999,1357122.44,268347.69999999995,528058.64,707274.92,1145121.7500000002,545196.17,325415.4,511121.0800000001,840299.2300000002,640905.21,527769.5299999999,420813.95,710480.95,477509.31,395273.20999999996,729855.3400000001
21,TR022,Edirne,TUR,Turkey,566799.2999999999,392136.51,469944.20999999996,496304.06999999995,204496.82000000004,481361.04000000004,462446.56999999995,338188.2299999999,272827.15,576531.81,396372.96,199316.14,506317.58999999997,336696.98000000004,546698.92,231444.24,385874.01,288502.99999999994,206407.31000000003,270407.13,168417.02000000002
22,TR023,Elazig,TUR,Turkey,251186.43,269823.79,260645.72999999998,271063.66000000003,213276.6,284757.48,251410.44000000003,255877.76000000004,232555.97,276011.99000000005,227880.82000000004,337226.5,293183.78,248810.37999999998,221986.52000000002,259056.01,111474.57999999999,212561.18000000002,231078.01,234046.91999999998,254068.3
23,TR024,Erzincan,TUR,Turkey,135705.17,133689.14,138386.93999999997,147883.37,145940.74,145943.92999999996,123700.86,166898.16000000003,142943.42,154130.09000000003,133736.05,155056.01999999996,146401.33999999997,136559.27000000002,130431.36999999998,151559.15,110832.57000000002,132121.48,159800.22,132031.22000000003,134717.26
24,TR025,Erzurum,TUR,Turkey,447517.12,384102.9400000001,432344.48999999993,533415.5100000001,427972.95,483255.81,440475.11000000004,535082.9199999999,398764.63,518775.5800000001,478029.86,560839.32,560993.9500000001,428634.67,453899.6500000001,421025.3499999999,373598.09999999986,421033.51,490937.3599999999,418816.49000000005,456919.66
25,TR026,Eskisehir,TUR,Turkey,822655.1000000002,777214.9000000001,760029.9300000002,1183297.8099999996,867615.5599999999,969535.4,624243.0,844106.9600000001,588397.3300000001,509779.54,644412.5899999999,961060.6100000001,588829.76,660302.8,734484.1700000002,656520.51,267796.61,831619.53,787256.64,721106.37,688768.9999999999
26,TR027,Gaziantep,TUR,Turkey,292154.17999999993,397582.98,418805.58,322703.99,298223.86000000004,553895.2700000001,475193.43,286751.14999999997,487389.12000000005,527954.6000000001,391060.75000000006,246357.06,457368.29000000004,532889.7000000001,549802.7299999999,447646.52999999997,434248.11999999994,438921.21,380719.82999999996,550884.85,480317.86
27,TR028,Giresun,TUR,Turkey,18524.74,22335.009999999995,9955.240000000002,30498.879999999997,23724.65,24932.31,9284.74,31586.670000000002,17293.079999999998,10641.3,17596.07,22806.690000000002,18376.91,4123.34,19536.69,10345.06,11631.999999999998,17421.2,25951.13,16167.119999999997,19579.89
28,TR029,Gumushane,TUR,Turkey,29401.990000000005,50208.4,49312.270000000004,69297.74999999999,30452.41,54672.62999999999,31440.94,47599.71000000001,58395.17,69679.61,17273.32,57848.170000000006,23411.340000000004,43637.86000000001,46526.61,55456.990000000005,50220.15000000001,44963.16,68472.35999999999,42336.29,46770.880000000005
29,TR030,Hakkari,TUR,Turkey,39898.42,38506.920000000006,38460.310000000005,39748.22,41093.299999999996,46947.240000000005,45902.30000000001,34354.020000000004,37006.34,44963.41,40850.68,46934.01,45523.530000000006,39694.37999999999,38078.399999999994,35554.159999999996,38155.100000000006,39688.560000000005,43760.84,39712.38999999999,50884.380000000005
30,TR031,Hatay,TUR,Turkey,162995.52,240724.84999999998,183655.44999999998,171287.61000000002,231546.11,172262.38000000003,164181.63,168625.62,177309.6,170155.40999999997,159564.93000000002,158968.53000000003,172411.85,171025.82000000004,223012.16000000003,143649.27,175065.19000000003,171112.09000000003,211405.72000000003,191624.70999999996,198037.88
31,TR032,Isparta,TUR,Turkey,162808.73999999996,144098.96000000002,184537.42,226138.26,203012.69000000003,239587.02000000005,168886.21999999997,147053.01,150011.38,166946.74000000002,174292.77,200999.19999999995,121216.96,179794.01000000004,156059.30999999997,149418.13000000003,155886.35000000003,174607.21999999997,153740.05999999997,141334.65999999997,175847.52000000002
32,TR033,Mersin,TUR,Turkey,125865.63999999998,160093.41,126342.71,149605.95000000004,154911.94,157069.58,159171.44999999998,139280.84999999998,175054.27000000002,171860.36000000002,136044.06999999998,169583.84000000003,143131.44000000003,149621.12000000002,149271.94000000003,139083.94999999998,141046.41,131928.07,167870.24000000002,161066.59,143745.01
33,TR034,Istanbul,TUR,Turkey,116335.26000000001,95768.99,106761.71999999999,86649.76000000001,73660.79000000001,86166.44,76374.44000000002,45289.68,62901.26,109175.41,60306.25999999999,31750.880000000005,58890.29000000001,67542.89,32945.560000000005,36233.83,34280.700000000004,28683.960000000003,22622.46,36479.17999999999,53570.49000000001
34,TR035,Izmir,TUR,Turkey,243496.87999999998,288961.35,359359.11,361908.69000000006,207124.62000000002,269183.75,224546.30000000002,224228.24000000002,231382.75000000003,258761.37999999998,297580.3,210024.83000000002,241807.23000000004,238940.43000000002,298015.7200000001,243982.38999999998,242908.68,230624.41999999995,293098.68,222550.09000000005,234858.44999999995
35,TR036,Kars,TUR,Turkey,422219.82999999996,382641.64,487642.74,546181.2300000001,403264.16,435032.19999999995,326268.81,438868.74,385215.7700000001,475030.5200000001,407476.17,515629.01999999996,525396.3500000001,391353.12999999995,399132.65,400549.43999999994,384695.75,412335.11,491008.73,379597.13000000006,435926.68000000005
