ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual,LTA,2003_annual_anomaly,2004_annual_anomaly,2005_annual_anomaly,2006_annual_anomaly,2007_annual_anomaly,2008_annual_anomaly,2009_annual_anomaly,2010_annual_anomaly,2011_annual_anomaly,2012_annual_anomaly,2013_annual_anomaly,2014_annual_anomaly,2015_annual_anomaly,2016_annual_anomaly,2017_annual_anomaly,2018_annual_anomaly,2019_annual_anomaly,2020_annual_anomaly,2021_annual_anomaly,2022_annual_anomaly,2023_annual_anomaly
0,TR001,Adana,TUR,Turkey,511376.68000000005,699109.5500000002,733495.99,429019.1000000001,526786.6900000002,432794.87,395666.1,454991.0400000001,374235.09,382761.50000000006,441165.3100000001,484862.6099999999,397330.06,592500.07,477306.11,341889.58,362489.39,364076.09,439291.94,396475.21,393875.14,461881.1490000001,10.716075143391476,51.36135161905039,58.806219216363786,-7.114827931633121,14.052433432393682,-6.29735139937484,-14.3359496579065,-1.4917493417770977,-18.975890050884075,-17.129871866669326,-4.48510164245737,4.975622202758449,-13.9756924784129,28.279768785281128,3.339595268911893,-25.978884234567463,-21.518903556724297,-21.175373624092213,-4.890697325255005,-14.160772558396847,-14.723703088389101
1,TR002,Adiyaman,TUR,Turkey,223667.93,203781.5,258680.6,224600.8,152145.90000000002,273031.31,77384.15000000001,128584.09,300877.49,219863.16,130906.09999999998,82777.95,145183.67999999996,72988.14,110381.53,105441.71000000002,153559.8,199935.43,112027.87,115723.5,191166.83,164577.132,35.904622520703526,23.821273055116784,57.178945128294,36.47145096683297,-7.553438226156467,65.89869241371879,-52.98001061289609,-21.870014115934413,82.81852791066986,33.592776425342,-20.45911943586429,-49.702641555328604,-11.783807242430283,-55.65110467473695,-32.93021414421051,-35.931736858800036,-6.694327374716933,21.484332343329434,-31.929868604102307,-29.68433791883067,16.156374629252852
2,TR003,Afyonkarahisar,TUR,Turkey,846535.9699999999,706145.21,791813.1399999999,1031929.7399999998,924923.68,1037059.27,537972.4299999999,549488.4699999999,568685.41,431779.47,659818.3500000002,922822.87,560677.1,632877.2500000001,743322.7700000001,484018.23,529382.3700000001,799969.9499999998,653642.2599999999,684440.49,688202.8,704865.2215,20.0989840580466,0.18159336862671097,12.335396306682428,46.40100100328184,31.219934221141038,47.12873303538356,-23.67726288790942,-22.04346969614249,-19.31997881952528,-38.742974283630474,-6.3908489347987745,30.92189000844327,-20.456126519217122,-10.213012261663966,5.456014472973987,-31.331804260397888,-24.895944096455874,13.492611863812867,-7.267057578893484,-2.897678999757544,-2.3639159646068504
3,TR004,Agri,TUR,Turkey,513005.02,448302.59,435777.19,535200.8200000001,465308.61,536497.89,440452.7400000001,537046.08,444146.28,497046.25,463578.28,607827.39,565254.25,379855.0899999999,444791.9,442707.13000000006,414216.53,407324.93,464476.13,437130.96,524273.85,473997.30300000013,8.229522985281601,-5.42085637141275,-8.063360858405584,12.912207857013886,-1.8330680248617663,13.185852873934994,-7.076952292279184,13.301505430717569,-6.297720010444889,4.86267471441707,-2.198118625160215,28.23435621953314,19.2526300091627,-19.861339379815035,-6.161512484386456,-6.6013398814634305,-12.61204918712377,-14.065981510447564,-2.0086977161555963,-7.777753748105208,10.606926807767055
4,TR005,Amasya,TUR,Turkey,244022.27,164674.53000000003,196535.56,258459.16000000003,57353.65999999999,245500.14,54707.42999999999,208289.71,163697.54000000004,205627.42,67561.95,180057.96000000002,206819.13,14841.649999999998,209273.65,189880.68,42260.72000000001,133962.51,160916.66,197604.13,180061.93,160102.323,52.416445575246264,2.8558030354125616,22.756220095569752,61.433735099521336,-64.17687206200002,53.339523999286385,-65.82970879192052,30.0978687236162,2.245574537978461,28.435000908762586,-57.80076844981193,12.464301970184415,29.17934363763104,-90.72989715458407,30.712438194916132,18.599578345905694,-73.60393078119174,-16.326941739627348,0.5086353431611355,23.423649511943683,12.466781634392643
5,TR006,Ankara,TUR,Turkey,1539587.7100000002,1334304.37,1598428.2900000005,2257293.8600000003,1626297.9800000002,1939285.16,1309161.35,1823660.89,1261417.98,1060040.43,1134920.7100000002,1935554.99,1180402.9,1478492.2200000002,1373336.6699999997,1516047.4200000004,1065949.54,1474497.34,1519905.4400000002,1433720.0500000005,1498508.55,1493115.265,3.1124485891583396,-10.636211330945022,7.053241465587763,51.18014750187424,8.919787917378255,29.881811904186783,-12.320141606749953,22.13798443752432,-15.51770921048081,-29.00478249413651,-23.98974569454956,29.63198725317433,-20.943618508916657,-0.9793647779764474,-8.022059502552887,1.5358596578275887,-28.609025372197227,-1.2469181339459292,1.7942469431521268,-3.977939037412453,0.36121022444976136
6,TR007,Antalya,TUR,Turkey,205819.70000000004,243184.71,250288.03,214078.18,206590.86,227613.8,273436.01,222614.72,225157.93,240577.65,192020.67,216292.62,203405.98,229030.29,229681.56,193753.73,231001.82,212353.46,225656.65,215100.24,203349.48,222882.93050000002,-7.655691919395315,9.108718848256517,12.295737245791454,-3.9503924684802287,-7.309698622254983,2.122580445881194,22.681449578302267,-0.12033694074208862,1.0207149981815122,7.939019583197725,-13.846847953212821,-2.95684846085601,-8.7386460938515,2.758111393371145,3.0503141199500607,-13.06928280001236,3.6426699351927225,-4.724215746974856,1.2444737215979744,-3.491828863942555,-8.76399572465241
7,TR008,Artvin,TUR,Turkey,220.68,144.95,113.6,1012.73,136.8,0.0,507.5,200.19,795.7,1049.7599999999998,223.79,443.91,425.53,470.54,348.25000000000006,270.83000000000004,139.76,1294.9899999999998,1513.37,1323.4199999999998,1349.5,531.8149999999999,-58.50436712014516,-72.74428137604242,-78.63918843958895,90.42900256668204,-74.27676917725148,,-4.5720786363679,-62.35721068416649,49.61969857939324,97.39195020824909,-57.91957729661631,-16.529244192059256,-19.98533324558352,-11.521863806022758,-34.51670223668003,-49.074396171601016,-73.7201846506774,143.50385002303432,184.56700168291607,148.84969397252803,153.75365493639708
8,TR009,Aydin,TUR,Turkey,177802.61,223247.86,180391.9,211544.38,168149.02000000002,206911.14,171523.38000000003,170973.53,191971.17000000004,202418.97000000003,186751.61,163979.93,178684.79,172500.66000000003,238315.64,191793.86,179509.53,182258.78000000003,213705.18,206780.91,222829.83,190960.74250000005,-6.890490855731807,16.90772515717461,-5.534562948193425,10.778989037498086,-11.945765502037691,8.352710243572686,-10.178721681499542,-10.466660444619945,0.5291283887838834,6.00030527216869,-2.20418733447272,-14.128983866932781,-6.428521558560677,-9.666951572520208,24.798236998895177,0.4362768436554097,-5.996631742254589,-4.556937926652658,11.910530511264605,8.284512980462436,16.68881628903382
9,TR010,Balikesir,TUR,Turkey,350577.08,421785.01000000007,487843.46,520533.48,215787.31,523422.0500000001,332241.19,325049.00000000006,383751.14,437469.6400000001,249150.51000000004,249507.16999999995,322519.46,124520.66,420981.64,212574.29,316880.4,220951.74,211876.19,264682.80000000005,265186.29,329605.211,6.362723737398681,27.966729870663375,48.00841847127229,57.926350260281524,-34.53158421090619,58.80272293389199,0.7997382662739493,-1.3823237157497341,16.427510000744498,32.725340923083905,-24.409414146064567,-24.30120590538845,-2.149769106654078,-62.2212708281484,27.722992826105532,-35.50639282823717,-3.860621912315575,-32.96473094898976,-35.71819166414817,-19.697022023113572,-19.544266549839236
